score_bin,conflict_pattern,sample_count,min_sp_score,max_sp_score
0.36-0.38,SP=real;FSD=real/real/real,103,0.3604025483643313,0.3799964955313424
0.36-0.38,SP=real;FSD=fake/fake/fake,36,0.3660528568357876,0.3799563031377717
0.36-0.38,SP=real;FSD=real/real/fake,13,0.3717442525579967,0.3797309805928951
0.36-0.38,SP=real;FSD=fake/fake/real,11,0.3647256721761428,0.3790775955086387
0.36-0.38,SP=real;FSD=fake/real/real,9,0.3669870311232257,0.3788912836010564
0.36-0.38,SP=real;FSD=fake/real/fake,6,0.3688162993639847,0.3773970217866774
0.36-0.38,SP=real;FSD=real/fake/fake,3,0.366127383199371,0.3761032554385403
0.36-0.38,SP=real;FSD=real/fake/real,2,0.3725835889825388,0.3782747715080111
0.38-0.40,SP=fake;FSD=real/real/real,272,0.3888183135275151,0.3998988054144488
0.38-0.40,SP=real;FSD=real/real/real,149,0.3800247913981061,0.3887573300655814
0.38-0.40,SP=fake;FSD=fake/fake/fake,109,0.3889403312932308,0.3999611585746612
0.38-0.40,SP=real;FSD=fake/fake/fake,68,0.3802146138873415,0.3887223189619182
0.38-0.40,SP=fake;FSD=real/real/fake,37,0.3889198969871848,0.399061576619199
0.38-0.40,SP=fake;FSD=fake/fake/real,23,0.388869014932255,0.3998605796495323
0.38-0.40,SP=fake;FSD=fake/real/real,18,0.3888354878094823,0.3990324183047545
0.38-0.40,SP=real;FSD=real/real/fake,17,0.3804015268085424,0.3883143059969834
0.38-0.40,SP=fake;FSD=real/fake/real,13,0.3897060284419135,0.3989342100052086
0.38-0.40,SP=fake;FSD=real/fake/fake,12,0.3888760612751306,0.3993531511237883
0.38-0.40,SP=real;FSD=fake/real/fake,11,0.3813384625405135,0.3881959912279365
0.38-0.40,SP=fake;FSD=fake/real/fake,8,0.3890633945624041,0.3975282106136421
0.38-0.40,SP=real;FSD=fake/real/real,8,0.3811437631515211,0.3882583153952891
0.38-0.40,SP=real;FSD=fake/fake/real,6,0.3823549131693204,0.388672705627269
0.38-0.40,SP=real;FSD=real/fake/fake,6,0.3801388360100862,0.388018121108256
0.38-0.40,SP=real;FSD=real/fake/real,3,0.3828775309175088,0.3877760012571237
0.40-0.42,SP=fake;FSD=real/real/real,402,0.4000096595848361,0.4199905221047814
0.40-0.42,SP=fake;FSD=fake/fake/fake,243,0.4000094819834197,0.4199839839355265
0.40-0.42,SP=fake;FSD=real/real/fake,60,0.4004596898364525,0.4197279163855658
0.40-0.42,SP=fake;FSD=fake/real/fake,29,0.4004583621299349,0.4197168029480801
0.40-0.42,SP=fake;FSD=fake/real/real,26,0.4003295095282301,0.419345011334488
0.40-0.42,SP=fake;FSD=fake/fake/real,24,0.4004704940125453,0.4199080345860048
0.40-0.42,SP=fake;FSD=real/fake/fake,21,0.4027165179439647,0.4199995571993437
0.40-0.42,SP=fake;FSD=real/fake/real,15,0.4013739683285172,0.4183746229812515
0.42-0.44,SP=fake;FSD=real/real/real,265,0.4200255178651003,0.4399490221526812
0.42-0.44,SP=fake;FSD=fake/fake/fake,179,0.4201140705222974,0.4397481692414262
0.42-0.44,SP=fake;FSD=real/real/fake,30,0.4219901835427003,0.4384523432423702
0.42-0.44,SP=fake;FSD=fake/fake/real,19,0.4209679201599587,0.4388198407851756
0.42-0.44,SP=fake;FSD=real/fake/fake,17,0.4218428124933526,0.4365912950980354
0.42-0.44,SP=fake;FSD=real/fake/real,14,0.420812512927748,0.4395778757375686
0.42-0.44,SP=fake;FSD=fake/real/fake,12,0.4205643165660014,0.4399535903003033
0.42-0.44,SP=fake;FSD=fake/real/real,12,0.4226072695514792,0.439003081555416
0.44-0.46,SP=fake;FSD=fake/fake/fake,129,0.4401031300599993,0.4598543540988259
0.44-0.46,SP=fake;FSD=real/real/real,117,0.4400773604163155,0.4594190197186439
0.44-0.46,SP=fake;FSD=real/real/fake,19,0.4404678994519042,0.4597514683983389
0.44-0.46,SP=fake;FSD=fake/fake/real,16,0.4417010514368255,0.4594779371114165
0.44-0.46,SP=fake;FSD=real/fake/fake,11,0.4411650602804656,0.459488283721596
0.44-0.46,SP=fake;FSD=real/fake/real,10,0.441941173270258,0.4575539753669643
0.44-0.46,SP=fake;FSD=fake/real/fake,7,0.4409533560959005,0.4581036223047594
0.44-0.46,SP=fake;FSD=fake/real/real,6,0.4404955396688537,0.4518135850652778
0.46-0.48,SP=fake;FSD=fake/fake/fake,77,0.4603152653887444,0.4799672220334513
0.46-0.48,SP=fake;FSD=real/real/real,36,0.4602807493926857,0.4788101196749202
0.46-0.48,SP=fake;FSD=real/fake/fake,12,0.4608863149149441,0.4784367858317422
0.46-0.48,SP=fake;FSD=fake/fake/real,5,0.4608392425997292,0.4692554057592501
0.46-0.48,SP=fake;FSD=real/fake/real,5,0.4629384296887017,0.4764736402273625
0.46-0.48,SP=fake;FSD=fake/real/fake,3,0.4613591215106221,0.4766105332472997
