score_bin,conflict_pattern,sample_count,min_sp_score,max_sp_score
0.46-0.48,SP=fake;FSD=real/real/fake,3,0.4675868870472318,0.4799147506200757
0.46-0.48,SP=fake;FSD=fake/real/real,2,0.4681392456586239,0.4794716212841227
0.48-0.50,SP=fake;FSD=fake/fake/fake,43,0.4801699131820623,0.499666497149458
0.48-0.50,SP=fake;FSD=real/real/real,23,0.4814357899382199,0.4995643646602321
0.48-0.50,SP=fake;FSD=fake/fake/real,6,0.4811374259709555,0.4965542950488215
0.48-0.50,SP=fake;FSD=real/fake/fake,6,0.4802749947628312,0.4990542095280398
0.48-0.50,SP=fake;FSD=real/fake/real,6,0.4898409820537087,0.4990205777527073
0.48-0.50,SP=fake;FSD=real/real/fake,3,0.4807884101677097,0.486904025925212
0.48-0.50,SP=fake;FSD=fake/real/fake,1,0.4982573163066341,0.4982573163066341
0.48-0.50,SP=fake;FSD=fake/real/real,1,0.4801368391242672,0.4801368391242672
0.50-0.52,SP=fake;FSD=fake/fake/fake,31,0.5000957846638283,0.5190154194190021
0.50-0.52,SP=fake;FSD=real/real/real,10,0.5007760369518587,0.519792714333759
0.50-0.52,SP=fake;FSD=real/fake/fake,3,0.5119487096374467,0.5197406558227531
0.50-0.52,SP=fake;FSD=real/real/fake,3,0.5075178588953144,0.5160129869856427
0.50-0.52,SP=fake;FSD=fake/fake/real,2,0.502381291870439,0.5045826491752403
0.50-0.52,SP=fake;FSD=fake/real/real,2,0.5065909232115607,0.5106314188811115
0.50-0.52,SP=fake;FSD=fake/real/fake,1,0.5167307215162789,0.5167307215162789
0.52-0.54,SP=fake;FSD=fake/fake/fake,24,0.5208583500389009,0.5366092113665284
0.52-0.54,SP=fake;FSD=real/real/real,5,0.5238951223644289,0.5393903817525771
0.52-0.54,SP=fake;FSD=fake/fake/real,1,0.5387251808583117,0.5387251808583117
0.52-0.54,SP=fake;FSD=real/fake/fake,1,0.5201040978868703,0.5201040978868703
0.52-0.54,SP=fake;FSD=real/fake/real,1,0.5369811759891885,0.5369811759891885
0.52-0.54,SP=fake;FSD=real/real/fake,1,0.5253825405794862,0.5253825405794862
0.54-0.56,SP=fake;FSD=fake/fake/fake,12,0.5407247733922791,0.5595488816642722
0.54-0.56,SP=fake;FSD=real/real/real,3,0.5490807328184251,0.5554500514936569
0.54-0.56,SP=fake;FSD=real/fake/real,2,0.5507902853092951,0.5577184512542329
0.54-0.56,SP=fake;FSD=real/fake/fake,1,0.5555289674177059,0.5555289674177059
0.56-0.58,SP=fake;FSD=fake/fake/fake,10,0.561298807257058,0.576808093069099
0.56-0.58,SP=fake;FSD=real/fake/fake,2,0.5626795988243414,0.5645866768714534
0.56-0.58,SP=fake;FSD=real/real/real,2,0.5623095564953385,0.5681008981251455
0.56-0.58,SP=fake;FSD=fake/fake/real,1,0.5654132794450838,0.5654132794450838
0.58-0.60,SP=fake;FSD=fake/fake/fake,3,0.5904552735532145,0.5983876432274037
0.58-0.60,SP=fake;FSD=real/fake/real,2,0.5855832963307903,0.5969312729291395
0.58-0.60,SP=fake;FSD=real/real/real,2,0.5905729393524819,0.5924783011905372
0.60-0.62,SP=fake;FSD=fake/fake/fake,5,0.6019249609224158,0.6157150545784031
0.60-0.62,SP=fake;FSD=real/fake/real,1,0.6125579473975515,0.6125579473975515
0.62-0.64,SP=fake;FSD=fake/fake/fake,2,0.6207557851425096,0.6234206947048236
0.64-0.66,SP=fake;FSD=real/fake/fake,1,0.6531428633195976,0.6531428633195976
0.66-0.68,SP=fake;FSD=fake/fake/fake,3,0.6608959540316577,0.6749623851536245
0.66-0.68,SP=fake;FSD=real/fake/fake,1,0.6606334150716846,0.6606334150716846
0.68-0.70,SP=fake;FSD=fake/fake/fake,1,0.691083405641329,0.691083405641329
0.72-0.74,SP=fake;FSD=fake/fake/fake,2,0.7321303126819407,0.7357259760661553
0.74-0.76,SP=fake;FSD=fake/fake/fake,1,0.7572558927958274,0.7572558927958274
