conflict_pattern,sample_count,mean_sp_score,min_sp_score,max_sp_score
SP=fake;FSD=real/real/real,1137,0.42021224773248,0.3888183135275151,0.5924783011905372
SP=fake;FSD=fake/fake/fake,874,0.4419327021500187,0.3889403312932308,0.7572558927958274
SP=real;FSD=real/real/real,252,0.38000230126852846,0.3604025483643313,0.3887573300655814
SP=fake;FSD=real/real/fake,156,0.41988305595590814,0.3889198969871848,0.5253825405794862
SP=real;FSD=fake/fake/fake,104,0.3813555531186206,0.3660528568357876,0.3887223189619182
SP=fake;FSD=fake/fake/real,97,0.428610304969901,0.388869014932255,0.5654132794450838
SP=fake;FSD=real/fake/fake,88,0.4457650718545796,0.3888760612751306,0.6606334150716846
SP=fake;FSD=real/fake/real,69,0.4422743470236963,0.3897060284419135,0.6125579473975515
SP=fake;FSD=fake/real/real,67,0.4184395718376221,0.3888354878094823,0.5106314188811115
SP=fake;FSD=fake/real/fake,61,0.42261503744792017,0.3890633945624041,0.5167307215162789
SP=real;FSD=real/real/fake,30,0.3810749951311561,0.3717442525579967,0.3883143059969834
SP=real;FSD=fake/real/fake,17,0.3806107329248377,0.3688162993639847,0.3881959912279365
SP=real;FSD=fake/real/real,17,0.37861621610190804,0.3669870311232257,0.3882583153952891
SP=real;FSD=fake/fake/real,17,0.3774209968685854,0.3647256721761428,0.388672705627269
SP=real;FSD=real/fake/fake,9,0.3786516472985354,0.366127383199371,0.388018121108256
SP=real;FSD=real/fake/real,5,0.38121718813141153,0.3725835889825388,0.3877760012571237
